Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/models/saved_model:predict,451187,0,10,11.198029703663277,0.8000910165719688,399.8215540195815,39.8373224405845,1503.9471633943747,0.0,10,12,13,14,17,22,29,34,54,390,400
,Aggregated,451187,0,10,11.198029703663277,0.8000910165719688,399.8215540195815,39.8373224405845,1503.9471633943747,0.0,10,12,13,14,17,22,29,34,54,390,400
